name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed,X,Y
"Louis Valentino, Jr. Memorial","Valentino, Louis, Jr.",1918,Y,Brooklyn,"Louis Valentino, Jr. Park and Pier",B418,6,38,Coffey Street and Ferris Street,Y,1998,1998,Flagstaff on cylindrical base with sloping top,"Base diameter 12'6""",,Deer Isle granite,,A. Ottavino,,,Brooklyn Borough President's Office,,,,,Y,,,,Fireman,,979241.6947159767,186429.69477573037
Chaplains Memorial,chaplains memorial,229,Y,Manhattan,Riverside Park,M071,9,9,121st Street and Riverside Drive; in grassy triangle south of Grant's Tomb,Y,1950,,Tablet on plinth,"H: 24"" W: 18""",,"Bronze, granite",,,,,Daughters of the Defenders of the Republic,,,,,Y,,,,World War II,,994355.2881763875,235148.31354564428
Alfred Tredway White,"White, Alfred Tredway",1701,O,Brooklyn,Brooklyn Botanical Garden,B010,9,35,"Brooklyn Botanic Garden; Easten Pkwy, Flatbush and Washington Aves, Empire Blvd.",Y,"June 7, 1923",circa 1923,bas-relief on boulder,"bas-relief h 5'6"" x w 6'6""",,bas-relief--bronze; boulder--fieldstone,,,Daniel Chester French,Henry Bacon,"$23,000; Replica: Friends & Family of Seth Oliver Hawkins",,,,,,06/01/1990,06/01/1990,,Sculpture,,,
Belle Harbor Memorial Circle,,106,Y,Queens,Memorial Circle on Rockaway Beach Boulevard between Beach 120th and Beach 121st Streets,Q259,14,32,"Rockaway Beach Boulevard, 120th-121st Street",Y,1948,,"33 plaques on limestone plinths, trees","H: 22"" W: 26""",,"Bronze, deer isle granite",,,,,Belle Harbor Garden Club,,,,,Y,,,,"World War II, War Memorial",,1028406.8601649702,150130.85825280845
General Philip Henry Sheridan,"Sheridan, Philip Henry",1439,Y,Manhattan,Christopher Park,M287,2,3,"Adjoining Sheridan Square, Christopher, Grove and West 4th Streets",Y,"October 19, 1936",1936,Standing figure (over life-size) with integral plinth on pedestal,"H: 12'4"" W: 3'10"" D: 3'10""",,"Bronze, Conway green granite",Roman Bronze Works,,Joseph P. Pollia,,"General Sheridan Memorial  Association, Inc.",,,,,Y,,,$6000,"Civil War, War Memorial, Soldier",,983650.5467906445,206342.6536373943
Fort Tryon Memorial,,533,Y,Manhattan,Fort Tryon Park,M029,12,7,In retaining wall north of Linden Terrace,Y,"September 29, 1904",,Stele with sculptured decorations,"H: 12' W: 6'6"" D: 2'",,"Bronze, granite (polished)",J & R Lamb Co.,,,,C.K. G. Billings and the American Scenic and Historic Preservation Society,,,Margaret Corbin,,Y,,,,"Revolutionary War, Women",,1002897.4387429655,253199.17508164048
Monitor Memorial,Monitor Memorial,1049,Y,Brooklyn,Monsignor McGolrick Park,B114,1,33,"Nassau and Driggs Avenues, and Russell and Monitor Streets",Y,"November 6, 1938",ca. 1938,"Male figure (heroic scale) tugging at a hawser with an integral plinth, on a pedestal",,,"Bronze, granite",,,Antonio de Filippo,,State of New York,,,,,Y,,,,"War Memorial, Civil War, Allegorical",,1000103.2875071317,203232.30519931018
"O'connell, David Square",,1124,Y,Queens,David J. O'Connell Square,Q203,10,32,DAVID O'CONNELL SQUARE; rockaway blvd. and 118th st.,N,"October 9, 1932",,"crved. plq., flagstaff; stolen-1975",see memo,,"bronze, granite",,,,,"dvd o'connell, #2264, vfw",,,,,,,,,"War Memorial, World War I",,,
Christopher Columbus,"Columbus, Christopher",298,Y,Brooklyn,Columbus Park,B113C,2,33,"In front of New York State Supreme Court Building, at Montague and Court Streets",Y,1867 (?),ca 1867,"Standing figure on base, on plinth","Figure H: 7'; Pedestal H: 11' Diameter: 3'6""; Base H: 2'6"" Diameter: 8'9""; Plinth H: 1' Diameter: 17'3""",,"Italian marble, limestone",,,Emma Stebbins,Aymar Embury II,Marshal O. Roberts,,,,,Y,,,,"Sculpture, Explorer",,987045.7214307189,192088.40393072367
Raymond M. O'Connor,,1126,Y,Queens,Raymond M. O'Connor Field,Q103,11,19,"210th St., 32nd and 33rd Avenues",M,"May 30, 1932",,Recessed plaque in brick wall,"H: 26"" W: 20"" D: ½""",,Bronze,,,,,,,,,,,,,,,,,
Parkville Memorial,,1158,N,Brooklyn,,,12,44,"Avenue J, 5th Street, and Bay Parkway",Y,"June 22, 1947",,plaque on plinth,"18""h x 24""w x¾""d",,bronze. granite,,,,,parkville taxpayers ass'n,,,,,,,,,"War Memorial, World War II",,,
William Tecumseh Sherman,"Sherman, William Tecumseh",1442,Y,Manhattan,Grand Army Plaza,M062,5,4,,Y,"May 30, 1903",1902,"Group (heroic scale) consisting of equestrian figure and female figure on pedestal decorated with six applied wreaths (three on each side), plaque set in pavement","Horse figure H: 14'6""; equestrian figure total H: 15'6"";  Genius of Victory figure H: 10'6""; pedestal L: 42'6"" W: 30'8""; total H: 24'4""; plaque L: 2'1"" W: 10""",CPC,Group and wreaths--bronze (gilded); pedestal--Stony Creek granite (polished); plaque--bronze; pavement: bluestone,"Group and wreaths--Thiebaut Freres, Paris","Plaque--International Bronze, Garden City, Long Island",Augustus Saint-Gaudens; Alexander Phimister Proctor,Charles Follen McKim,"Citizens of New York, under auspices of the Chamber of Commerce of the State of New York; David Schwartz Foundation",,,,,Y,,12/05/1989,"$75,000; plaque $288;","Civil War, War Memorial, Allegorical, Soldier, Animal: equestrian",,991709.4666963816,217914.12163613737
Governor Thomas Dongan,"dongan, thomas",395,Y,Staten Island,Sailors Snug Harbor,R116,1,49,Richmond Terrace,M,1933,,Tablet on natural boulder,"Tablet H: 12"" W: 20""; Boulder H: 48"" W: 36"" D: 36""",,Bronze,,,,,,,,,,,,,,,,,
C. Bobbink Lambertus,"Bobbink, lambertus, c.",129,O,the Bronx,Bronx Park,X002,14,12,"ROSE GARDEN, BRONX PARK; Entrance on Pelham Parkway",M,1939,,Plaque on natural boulder,"H: 1'6"" W: 2'",,Bronze,,,,,,,,,,,,,,,,,
Amiable Child Memorial,"Pollock, St. Claire",1206,Y,Manhattan,Riverside Park,M071,9,9,Riverside Drive at West 124th Street,Y,"May 3, 1967",1967,Funeral urn on pedestal marking grave,"Urn H: 2'4"" W: 1'1"" D: 1'1""; Pedestal H: 2'4"" W: 2' D: 2'; Total H: 4'7"" (approximate)",,Original headstone--sandstone; First replacement urn and pedestal--white Vermont marble; Second replacement urn and pedestal--light grey Barre granite,,,,,,,,St. Claire Pollock Memorial,,Y,,,,,,994446.8952766359,236118.6967754811
King Park Cannon,,867,Y,Queens,Rufus King Park,Q023,12,28,KING PARK IN FRONT OF MANSION; NOT LOCATED (9/05); Jamaica Avenue and 150th St.,S,cannons dated 1862,,2 Civil War cannons on concrete,"4 5/8"" bore",,,Revere Copper Co.,,,,,,,,,,,,,"War Memorial, Civil War",,,
Richard Tucker,"Tucker, Richard",1577,Y,Manhattan,Richard Tucker Park,M051,7,6,"West 66th Street,  Broadway, and Columbus Avenue",Y,"April 20, 1980",1979,Bust (over life-size) on pedestal,total h 7',,"Bronze, granite",,,Milton Hebald,"Abramowitz, Harris, Kingsland",Richard Tucker Music Foundation,,,,,Y,,,,Composer/Musician,,989267.4833913893,221096.6441424787
"merchant marine, american memorial",,1020,N,Manhattan,,,1,1,U.S. CUSTOMS HOUSE; lower broadway,Y,"May 30, 1921",,tablet,"2'10""h x 3'7""w",,bronze,,,,,william h. todd,,,,,,,,,,,,
Edenwald Memorial Plaque,Edenwald Memorial Plaque,437,Y,the Bronx,Seton Falls Park,X046,12,12,Seton Avenue and East 233rd Street,N,"May 23, 1948",ca. 1948,pentagonal relief plaque on natural rock outcropping,"h 20¼"" x w 30"" x d¼""",,bronze,"International Bronze Tablet Company, Inc., New York, NY",,,,"Edenwald Post No. 1401, American Legion",,,,,,,,,"War Memorial, World War II",,,
Cyrus Clark,"clark, cyrus",266,Y,Manhattan,Riverside Park,M071,7,6,Riverside Park at 83rd Street,Y,1911,,Plaque on boulder,"H: 4' W: 2'5""",,Bronze,,,Henry Kirk Bush-Brown,,Gift of the West End Association,,,,,Y,,,,"Sculpture, Business Leader, Civic Leader",,989340.85758847,226048.13981689513
American Merchant Mariners Memorial Plaque,American Merchant Mariners Memorial Plaque,1779,Y,Manhattan,Battery Park,M005,1,1,"Breakwater extension, section D",Y,"October 8, 1991",1991,Plaque on base,,,"Bronze, granite",,A. Ottavino Corp.,,,American Merchant Mariners' Memorial Inc.,,,,,Y,,,,"Soldier, War Memorial, World War I",,979359.8499914706,195766.6193433106
Major William F. Deegan,"deegan, major william f.",374,Y,the Bronx,"Memorial Grass Strip at East 138th Street, Grand Concourse, and Major Deegan Boulevard",X145,1,17,138th Street and Grand Concourse,Y,1935,,Boulder with incised inscription,"H: 7'6"" W: 60"" D: 55""",,Concord granite,,,,,,,,,,Y,,,,"Civic Leader, Soldier",,1003422.6486505568,235545.3780402243
"Bischoff, Henry",,119,N,Manhattan,,,1,1,"COUNTY COURT HOUSE, RM 216; Foley Square, Centre Street between Pearl and Worth",Y,1915,,portrait plaque,,,bronze,,,george f. brewster,william wells bosworth,bench and bar of nyc,,,,,,,,,Sculpture,,,
Gertrude Stein,"Stein, Gertrude",1502,Y,Manhattan,Bryant Park,M008,5,3,,Y,"November 5, 1992",1991,Seated figure on pedestal on base,"Figure H: 2'9"" W: 2' D: 2'; Pedestal H:4'2"" W: 2'6"" D: 2'6"" (includes base); Weight: 225 pounds (figure only)",,"Figure--bronze; pedestal--light gray ""Stanstead"" Rock of Ages granite (polished); base: charcoal Cold Springs granite (polished)","Cavalier-Renaissance Foundry, 250 Smith Street, Bridgeport, CT 06607",A. Ottavino Corp.,Jo Davidson,Kupiec Koutsomitis,Dr. Maury P. Leibovitz,,,,,Y,,,,"Writer, Women",,988912.0388922989,213742.61619964242
Lafayette and Washington,,1650,Y,Manhattan,Lafayette Square,M090,10,9,Manhattan Avenue at 114th Street,Y,"1890; April 19, 1900",,Group on pedestal,"H: 20'2"" W: 15' D: 10'6""",,"Bronze, Hauteville marble",,,Frederic-Auguste Bartholdi,,Charles Broadway Rouss,,,,,Y,,,,"Revolutionary War, War Memorial, US President",,995874.3940620571,232085.64611455798
Dreyfus Plaque,"Dreyfus, Louis A. and Dreyfus, Berta E.",407,Y,Staten Island,Hero Park,R011,1,49,,Y,1921,ca. 1920,Plaque mounted on south side of Sugar Loaf Rock,"H: 1'10"" W: 1'4""",,Bronze,,,Francis Muller,,Purchase,,,,,Y,,11/16/2006,,"World War I, War Memorial",,959939.0466415584,168912.4269888103
John F. Kennedy Memorial,,856,O,the Bronx,Bronx Park,X002,14,12,"New York Botanical Garden; Southern Boulevard entrance, towards conservatory",Y,"November 22, 1964",,Plaque on boulder,"Plaque H: 1' W: 1'6""; Boulder H: 4' W: 2' D: 2'",,"Bronze, natural boulder",,,,,"Mosholu Lodge & Chapter, B'nai B'rith",,,,,,,,,,,,
Japanese Tablet,,800,Y,Manhattan,Riverside Park,M071,0,9,"GRANTS TOMB - REAR, NOT EXTANT; Riverside Drive at 123rd St",N,1912,,plaque,"4'h x 4'11 ½""w - salvaged",,bronze,,,Toyko Fine Arts School,,committee of japanese res. of nyc,,,,,,,,,,,,
Mrs. Catherine I. Carroll,"carroll, mrs. catherine j.",218,Y,Brooklyn,Metropolitan Pool and Public Bath,B085,1,34,"Located to the left up the entrance, in the stairwell one flight up.; Bedford Avenue and North First Street",Y,1927,,Tablet,,,"Bronze, stone",American Art Foundry,,Pietro Montana,,Gift of Friends,,,,,Y,,,2000.00,"Sculpture, Women, Civic Leader",,995228.3730443865,199809.03219023347
College Point War Memorial,college point war memorial,287,Y,Queens,Mall on 18th Avenue between 126th and 127th Streets,Q033,7,19,Between 127th and 128th Streets and 18th Avenue,Y,1930,,Stele with plaque,"Stele H: 76"" W: 31"" D: 20""; Plaque H: 22.5"" W: 30""",,"Concrete, bronze",,,,,American Legion,,,,,Y,,,,"World War I, War Memorial",,1028102.2301968038,224667.92636997998
jamaica hs memorial,,795,N,Queens,,,8,24,JAMAICA HIGH SCHOOL; gothic ave and 167th st,Y,1945,,"relief plaque, dedication plaque",,,"bronze, limestone?",,,,,jamaica high school alumni,,,,,,,,,,,,
Jaguar,Jaguar,72,O,the Bronx,Bronx Park,X002,14,12,Bronx Zoo; near stairway leading from Fountain Circle to Baird Court,Y,1937,ca. 1926,One of two; crouching jaguar (life size) on pedestal in form of rock outcropping,,,Marble,,,Anna Vaughn Hyatt Huntington,,Anna Vaughn Hyatt Huntington,,,Baird Court Jaguar,,,,,,,,1017981.1552946419,250231.93265655637
George F. Torsney,,1564,Y,Queens,,Q340,2,26,Skillman Avenue at 41st Street; Playground House,Y,,,Tablet on wall,"11 1/3""h x 21 ½""w x 5/8""d",,Bronze,,,,,,,,,,Y,,,,Civic Leader,,1005838.995195806,211528.82075847685
Happy Land Memorial,Happy Land Memorial,1772,Y,the Bronx,Crotona Parkway Malls,X011,6,15,Southern Boulevard and Tremont Avenue,Y,"June 17, 1995",ca. 1995,Obelisk and pedestal,"Obelisk H: 9'6"" (?) W: 3' D: 3'; Pedestal H: 1'3"" W: 5' D: 5'",Office of the Bronx Borough President,Rose granite (smooth honed),,A. Ottavino Corp.,,Steve de Noyer; Claire Dudley; José Antonio Velásquez,,,,,,Y,,,"$26,500",,,1015952.9565951377,246416.33169198036
Juan Pablo Duarte,"Duarte, Juan Pablo",414,Y,Manhattan,Juan Pablo Duarte Square,M279,2,3,Avenue of the Americas and Canal Street,Y,"January 26, 1978",1978,"Standing figure (over life size), on pedestal",Figure H: 10'6' W: 5' D: 4'; Pedestal H: 8' W: 5'  D: 5',,"Bronze, granite",,,Nicola Arrighini,,Dominican Republic,,,,,Y,,,,Politcal Figure,,982737.6454012245,202540.13794848323
Alamo,Alamo,9,N,Manhattan,,MZ032,2,2,"Astor Place, Lafayette and 8th Streets",Y,1967,ca. 1967,Tilted cube on pivot,H: 10'  W: 8' D: 8',Cooper Union,Cor-Ten steel (painted black),,Donald Lippincott,Tony Rosenthal,,"Knoedler & Company, Tony Rosenthal, and an anoymous donor",,,,,Y,,11/18/2005,,"Abstract, Sculpture",,986741.0986803919,205198.04831506312
"Irving, Washington",,783,Y,Manhattan,,,6,2,Washington Irving High School; Irving Place at 17th Street,L,1885,,Portrait bust on pedestal,"H: 14'9"" W: 3'9"" D: 3'9""",,"Bronze, French limestone",,,Frederick Beer,Aymar Embury II (new pedestal),Dr. Joseph Wiener,,,,,,,,,Writer,,,
Capt. Malcolm A. Rafferty,,1310,Y,Queens,Captain Malcolm A. Rafferty Square,Q036A,2,26,44th Road and 44th Drive near Jackson Avenue,Y,1937,,Inscribed natural boulder,"H: 5' W: 3'6"" D: 1'10""",,Natural boulder,,,,,,,,,,Y,,,,Soldier,,1000070.7134253085,211761.74188056588
Magaw Robert,,964,N,Manhattan,,,12,7,FORT WASHINGTON COLLEG. CHURCH; magaw pl and 181st st.,Y,"April 30, 1923",,"plaque on wall, 1 of 2 (see memo)","48""h x 36""w x ½""d",,bronze,,,,,society of american wars,,,,,,,,,"War Memorial, Revolutionary War",,,
Castle Clinton Plaque,Castle Clinton Plaque,272,Y,Manhattan,Battery Park,M005,1,1,On exterior wall facing New York Harbor,M,1909,ca. 1909,Plaque,,,Bronze,,,,,New York Zoological Society,,,,,,,,,Revolutionary War,,,
Ulysses Simpson Grant,"Grant, Ulysses Simpson",620,Y,Brooklyn,Grant Square Gore,B041,8,36,Bedford Avenue and Bergen Street,Y,"April 27, 1896",1896,Equestrian figure on integral plinth on pedestal,"Figure H: 12' W: 18' D: 26'; Pedestal H: 15'2"" W: 18'6"" D: 34'",,"Bronze, dark Barre granite","M.H. Mosman, Chicopee, MA",,William Ordway Partridge,,Union League of Brooklyn,,,,,Y,,,"$35,000","Civil War, War Memorial, US President",,997352.0679439753,185813.87973439693
Battle of Harlem Heights Marker,Battle of Harlem Heights Marker,676,Y,Manhattan,Riverside Park,M071,9,9,121st Street and Riverside Drive; in grassy triangle south of Grant's Tomb,Y,"May 16, 1961",ca. 1961,Plaque on plinth,"Plaque H: 1'6"" W: 2'; Plinth H: 1'7½"" W: 2'1½""",,"Bronze, granite",,,,,"Daughters of the Defenders of the Republic, U.S.A.",,,,,Y,,,,"Revolutionary War, War Memorial",,994353.9696094692,235146.9949787259
New Dorp World War II Memorial,,1101,N,Staten Island,,,2,51,NEW DORP LANE AND 9TH ST.,Y,,,"Stele, incised letters & seals, flagstaff","H: 11' W"" 64"" D: 56""",,"Barre granite, bluestone, flagstone terrace",,,,,,,,,,Y,,,,"World War II, War Memorial",,952366.7346864641,148083.28360781074
Jamaica Memorial,,796,Y,Queens,,Q023,12,28,Jamaica Avenue at 153rd Street,M,1921,,Stele with sundial and tablet,"Tablet H: 2'1"" W: 2'5""; Stele H: 7'2"" W: 3'1"" D: 11""; Pedestal H: 3'4"" Diameter 1'11""; Sundial Diameter 1'9""",,"Tennessee marble, bronze",,,,,Gift,,,,,,,,4000.00,"World War I, War Memorial",,,
John J. Dolan Memorial,"Dolan, John J.",390,Y,Brooklyn,Heisser Square Park,B045,4,37,Plaque moved to storage (1974),S,"August 21, 1920",ca. 1920,Curved plaque mounted near base of flagstaff,"Plaque H: 1'3"" W: 1' (measured on curve)",,"Bronze, wood",,,,,Bleecker Street Neighbors Association,,,,,,,,,"World War I, War Memorial",,,
New Blazing Star Ferry Memorial,,1097,Y,Staten Island,,,2,50,Victory Boulevard near Carteret ferry,M,1928,,Tablet on stele,"Tablet H: 1'2"" W: 1'4""; Stele H: 4'2"" W: 2'4"" D: 1'1""",,"bronze, black granite",,,,,"Staten Island Chapter, D.A.R. and State of New York",,,,,,,,,"Revolutionary War, War Memorial",,,
Joseph Manna Memorial,,1977,Y,Staten Island,,R127,1,49,"Forest Avenue, Goethals Road North, Meeker Avenue",Y,"May 22, 1993",,Plaque attached to boulder,H: 7' W: 6' D: 5.5',,"Black granite, natural boulder","Hall Monuments, Staten Island",,,,Vincent Pompa and Mariners Harbor Civic Association,,,,,Y,,,,"War Memorial, World War II",,935225.5639163852,167309.89443272352
"Berkson, Seymour",,113,N,Manhattan,,,5,3,"42nd st, 155' west of 5th Avenue",Y,1960,,"plaque on concrete plinth, trees","9¾""h x 13½""w",,"bronze, concrete",forman bronze co,,,,albert & mary lasker fdnt $110,,,,,,,,,,,,
Dr. Simon Baruch Bath House Plaque,"Baruch, Simon",86,Y,Manhattan,,M263,6,4,"On loan to Bellevue Hospital, 462 1st Avenue, New York, NY 10010",L,1940,1939,Plaque with relief medallion,"H: 1'10"" W: 3'5""",,Bronze,"Federal Brass & Bronze Company, New York",,,Werner & Windolph,Gift,,,,,,,,,,,,
"King, Martin Luther, Jr.",,868,N,Manhattan,,,10,9,"ESPLANADE GARDEN HOUSES; 147th st., lenox and 7th ave",Y,"April 4, 1970",,bust on pedestal; 2 plaques,see memo,,"bronze, pink granite pedestal","sculpture house, us bronze co",keystone monument co.,sam sawyer,,memorial committee,,,,,,,,,,,,
Washington Heights Memorial Honor Grove,,1654,Y,Manhattan,Highbridge Park,M037,12,7,Playground at 180th and Amsterdam Avenue,Y,1945,,Plaque,"5""h x 8""w",,"Bronze, natural boulder",,,,,Memorial Honor Grove Assoc. Inc.,,,,,Y,,,,"World War II, War Memorial",,1003343.1763685495,247979.3183953911
Arthur W. Gelston Tablet,,578,Y,Brooklyn,,,0,0,BROOKLYN MEMORIAL PARK,M,,,Portrait tablet on granite block,"t-20"" x 27 ½""/",,Bronze and granite,,,,,,,,,,,,,,,,,
Fort Washington Marker,,538,Y,Manhattan,Bennett Park,M009,12,7,"Fort Washington Avenue, 184 Street",N,,,Marker with V-cut lettering,,,Granite,,,,,,,,,,Y,,,,"Revolutionary War, War Memorial",,1001304.0311686397,250031.96324022114
Poe Actors Monument,,1188,N,the Bronx,,,5,4,BRONX COMMUNITY COLLEGE; grand concourse - poe center,Y,,,"cenotaph on plinth, figure, bas relief",,,"white marble, bronze",,,richard henry park,,property of met. mus. in storage,,,,,,,,,,,,
Washington Square Memorial Flagstaff,,1659,Y,Manhattan,Washington Square Park,M098,2,1,Foot of Fifth avenue,Y,1920,,Flagstaff pedestal,"7'6""h x 5'9""w",,Dover marble,,,,"McKim, Mead, and White",Washington Square Association,,,,,Y,,,"$2,970","World War I, War Memorial",,985065.6883172989,205607.8965767324
Gerald MacDonald,"MacDonald, Gerald",954,Y,Queens,Gerald MacDonald Memorial Park,Q207,6,29,Queens Boulevard and 71st Street,Y,1934,1934,Standing figure (over life-size) on pedestal,,,"Bronze, granite",,,Frederic De Henwood,Henry Deacy,"Forest Hills Post, No. 630, American Legion",,,,,Y,,,,"World War I, War Memorial",,1026929.5064923912,202343.73184522986
Cornelius De Lamater and John Ericsson,"de lamater, cornelius and ericsson, john",368,N,Manhattan,,,2,3,Cunard Pier #54; Foot of West 13th Street,M,October 1922,,Plaque,"H: 4' W: 4'9""",,Bronze,,,Isidore Konti,,De Lamater-Ericsson Tablet Committee,,,,,,,,,Scientist/Inventor,,,
Max Wernik Triangle,,1696,Y,Queens,,Q206,9,30,"Austin Street,125 St. and 84th Drive; Kew Gardens",Y,"May 16, 1982",,Marker,"H: 2' W: 2' D: 4""",,Granite,,"Fasolino Memorials, Middle Village, Queens",,,,,,,,Y,,,,Civic Leader,,1032192.96676597,196958.4532457292
Van Cortlandt Family Burial Plot,,1607,Y,the Bronx,Van Cortlandt Park,X092,0,11,,Y,,,"3 sided fieldstone wall, monolith","7'6""h (wall)",,"Fieldstone, Vermont marble",,,,,,,,,,,,,,,,1014016.3020038903,265739.4324813932
Oscar Comras Mall,"comras, oscar",309,Y,the Bronx,Bronx Park,X002,14,12,Lydig Avenue and Boston Road; Bronx Zoo exit,Y,,,Plaque on boulder,"H: 15"" W: 20"" D: 5/8""",,Bronze,,,,,,,,,,Y,,,,,,1020008.3599016368,250602.91026106477
City Hall Monument List,City Hall monument list,251,Y,Manhattan,City Hall Park,M013,1,1,,N,,,,,CPF,,,,,,,,,,,,,,,,,,
Australian Tree Marker,Australian Tree Marker,61,Y,Manhattan,Madison Square Park,M052,5,3,"5th Avenue and East 24th Street; north of Eternal Light Flagstaff, near dog run",Y,"March 14, 1929",1929,Plaque on plinth,"Plaque H: 6"" W: 1'1¾"" D: 1/8""; Plinth H: 1'4"" W: 1'5½"" D: 1'2""",,"Bronze, Georgia granite",,,,,Young Australia League,,,,,Y,,,$70,"World War I, War Memorial",,987372.7430863827,209703.12985606492
Fort Amsterdam-Fort George Plaque,,520,N,Manhattan,,,1,1,U.S. CUSTOMS HOUSE; Bowling Green,Y,"September, 1909",,plaque on exterior wall,,,bronze,,,,,founders/patriots of america. n.y.,,,,,,,,,,,,
The Waterhole in the Jungle,"Waterhole in the Jungle, The",1831,O,Brooklyn,Prospect Park,B073,0,39,"Prospect Park Zoo; Flatbush Avenue entrance, north side of southern kiosk",Y,1935,1935,Bas-relief,,,,,,Emil Siebern,Aymar Embury II,,,,,,,,,,,,994105.4281118065,181817.8549180627
First Presidential Mansion Plaque,First Presidential Mansion Plaque,486,N,Manhattan,,,1,1,"BROOKLYN BRIDGE; Manhattan pier of Brooklyn Bridge at Frankfort, Dover and Pearl Streets",Y,"April 30, 1899",ca. 1899,Plaque,"H: 1'4"" W: 1'4"" (approximate)",,Bronze,,,,,"Mary Washington Colonial Chapter, Daughters of the American Revolution",,,,,,,,,,,,
Bicentennial Veterans Memorial,Bicentennial Veterans Memorial,1935,O,the Bronx,Bicentennial Veterans Memorial Park,X191A,10,13,Ellsworth Avenue and Throgs Neck Expressway,Y,1976,ca. 1976,Flagstaff and inscribed paver in rectangular plaza,"Plaza L: 10'10"" W: 7'10""; Paver H: 1'10"" W: 6'2"" (?); Flagstaff H: 30'; base of flagstaff diameter 7'7""",,Granite paver,,,,,,,,,,,,,,"War Memorial, Revolutionary War",,,
Freedom Tree Marker,Freedom Tree Marker,556,Y,Manhattan,Hammarskjold Plaza,M203C,6,4,,M,"October 24, 1973",1973,Plaque recessed in plinth,"Plaque H: 7"" W: 1'",,"Bronze, Qunicy granite",,A. Ottavino Corp.,,,Voices In Vital America (VIVA),,,,,,,,,"Vietnam War, War Memorial",,,
Lin Ze Xu,,1979,N,Manhattan,,M246,3,1,"Lin Ze Xu Square, East Broadway at Chatham Square",Y,1999,,Over life-size portrait statue on pedestal,"18' 5"" H,",,"Bronze, granite",,,Li Wei-Si,,Lin Zexu Foundation of U.S.A.,,,,,Y,,,"$200,000",,,984760.989123553,199189.6505549699
Christopher Columbus,"Columbus, Christopher",296,Y,Queens,Columbus Square,Q137,1,22,"Astoria Boulevard, Hoyt Avenue and 31st Street",Y,"October 12, 1941",1941,"Standing figure (over life size) on pedestal, on plinth","Figure H: 7'6"" W: 4' D: 4'",,Figure--bronze; Pedestal and plinth--cast stone,,,Angelo  Racioppi,,New York City Works Progress Administration art project,,,,,Y,,,,Explorer,,1007114.1809656322,219831.1148493886
Colonel David Marcus Memorial Plaque,"Marcus, David",1789,Y,Brooklyn,Colonel David Marcus Memorial Playground,B128,12,44,"Ocean Pkwy, Ave P, E 3rd St; mounted on comfort station wall",Y,"June 13, 1993",1991,Plaque,"H: 10¾"" W: 1'½""",,Bronze,,Trophy World,,,Kings County  American Legion and Jewish War Veterans,,,,,Y,,,232.00,,,992687.6635588855,161510.696385473
Othmar Herman Ammann,"Ammann, Othmar Herman",30,N,Manhattan,,,12,10,"George Washington Bridge Bus Terminal, Broadway between 178th and 179th Streets",Y,ca. 1965,ca. 1965,bust on stele,"h 7' x w 2' x d 1'2""",,"bronze, black granite (polished)",,,Wheeler Williams,,,,,,,,,,,Sculpture,,,
Woodside Memorial,,1730,Y,Queens,Woodside Memorial Park,QZ118,9,26,Roosevelt Avenue and 60th St.,Y,"May 31, 1971",,"Stele with plaque, documents capsule","Stele H: 6' W: 3'6"" D: 1'2""; Plaque H: 36"" W: 26"" D: 5/8""; Reglet D: 3/4""",,"Bronze, Impala black granite","Sheidow Bronze Co, Kingwood, West Virgina",Riley Brothers,,Joseph Bresnan,Woodside Memorial Committee,,,,,Y,,,,"War Memorial, World War I, World War II, Korean War, Vietnam War",,1010626.7231531441,210835.6521973163
Joyce Kilmer Park War Memorial,,861,Y,the Bronx,Joyce Kilmer Park,X028,4,17,Grand Concourse and East 163rd Street,M,,,Plaque on plinth,"Tablet H: 8"" W: 10""; Plinth H: 1' W: 1'2""",,"Bronze, granite",,,,,"Italian Mothers Club, Bronx YWCA",,,,,,,,,"World War II, War Memorial",,,
Forest Hills,,507,N,Queens,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
William Jay Gaynor Memorial,"Gaynor, Wiliam Jay",576,Y,Brooklyn,S. Parkes Cadman Plaza,B113A,2,33,Near walkway to Brooklyn Bridge,Y,1926,1926,Bust on pedestal in front of a broad stele with paired bas-reliefs; stele is on a platform reached by two steps,"Bust H: 3' W: 2'8"" D: 1'7""; Pedestal H: 4' W: 1' 6 1/2"" D: 1'6""; Stele H: 9'10"" W: 16'10"" D: 6'",,"Bust and bas-reliefs--bronze; Pedestal, stele, platform--pink Milford granite","American Art Foundry, New York",,Adolph Alexander Weinman,,Gaynor Memorial  Committee,,,,,Y,,,,"Politcal Figure, Public Servant, Allegorical",,986881.1725472212,194135.16755372286
Montbellier Park Plaque,,2036,Y,Queens,,Q396,12,31,"Springfield Boulevard, 139th Avenue",Y,"August 30, 1964",1964,Bronze decorative marker honoring park namesake,H: 11 ½ W: 23 ¼,"Central Queens Allied Civic Council, Inc.",Bronze,,,,,,,,,,Y,08/01/1964,,,,,1051825.0459400564,184863.0148382336
